species,median.ghm.500m,median.viirs.500m,median.pop.500m,median.ghm.1km,median.viirs.1km,median.pop.1km,median.ghm.2km,median.viirs.2km,median.pop.2km,median.ghm.5km,median.viirs.5km,median.pop.5km,range.median.ghm.500m,range.median.viirs.500m,range.median.pop.500m,range.median.ghm.1km,range.median.viirs.1km,range.median.pop.1km,range.median.ghm.2km,range.median.viirs.2km,range.median.pop.2km,range.median.ghm.5km,range.median.viirs.5km,range.median.pop.5km,overall.median.ghm.500m,overall.median.viirs.500m,overall.median.pop.500m,overall.median.ghm.1km,overall.median.viirs.1km,overall.median.pop.1km,overall.median.ghm.2km,overall.median.viirs.2km,overall.median.pop.2km,overall.median.ghm.5km,overall.median.viirs.5km,overall.median.pop.5km,relative.ghm.500m,relative.viirs.500m,relative.pop.500m,relative.ghm.1km,relative.viirs.1km,relative.pop.1km,relative.ghm.2km,relative.viirs.2km,relative.pop.2km,relative.ghm.5km,relative.viirs.5km,relative.pop.5km
Crinia insignifera,0.817724181,11.92467839,922.0078067,0.816620357,14.1789832,985.9040692,0.806777227,15.55441743,967.0887372,0.814537416,16.66818254,1127.918849,0.805682491,12.50839835,1227.882365,0.815697609,14.36129791,1280.330119,0.82301283,15.06085663,1297.120484,0.826437006,16.35270333,1344.788968,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.01204169,-0.583719958,-305.8745583,0.000922748,-0.182314711,-294.4260499,-0.016235603,0.493560798,-330.0317471,-0.011899589,0.315479216,-216.8701184
Crinia parinsignifera,0.349608004,0.271793501,14.80753648,0.346992765,0.28420046,17.64412612,0.346402809,0.296457713,19.7864276,0.32975133,0.376799446,26.37037673,0.492679865,0.698697801,82.50478621,0.486746205,0.700478201,91.3862211,0.466670092,0.749886762,96.29927872,0.416261297,0.683876834,86.3388308,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.143071861,-0.4269043,-67.69724973,-0.13975344,-0.416277741,-73.74209498,-0.120267283,-0.453429049,-76.51285113,-0.086509967,-0.307077388,-59.96845407
Crinia pseudinsignifera,0.165289975,0.162240625,0.2512995,0.178154211,0.162927769,0.2512995,0.19200932,0.161525497,0.252326417,0.20410196,0.161240039,0.253353337,0.66431331,3.112132915,275.7574987,0.666658989,3.142817949,387.4202609,0.643672678,3.561996918,454.4291745,0.573869511,2.89254163,320.9289063,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.499023335,-2.94989229,-275.5061992,-0.488504778,-2.97989018,-387.1689614,-0.451663358,-3.400471421,-454.176848,-0.369767551,-2.731301591,-320.675553
Crinia remota,0.128296404,0.17509337,6.403423032,0.129382132,0.190066075,6.403422983,0.131867778,0.188971497,6.393800018,0.126311464,0.183861873,5.22200352,0.270684845,0.243355356,8.975178064,0.273219634,0.253385772,10.58907138,0.260699855,0.252473022,13.84734148,0.208499247,0.299102892,14.36211559,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.14238844,-0.068261986,-2.571755032,-0.143837502,-0.063319698,-4.185648398,-0.128832077,-0.063501525,-7.453541465,-0.082187783,-0.115241019,-9.140112066
Crinia signifera,0.517616893,0.952834694,111.0936077,0.512159324,1.005235654,133.1511236,0.488592388,1.009052156,133.4721282,0.418459879,0.802339514,106.3576795,0.481360719,0.650273093,78.55536721,0.476767377,0.666492969,87.55962841,0.456330325,0.677237842,88.25279619,0.407907515,0.644036566,79.07088618,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.036256174,0.302561601,32.53824046,0.035391947,0.338742685,45.59149517,0.032262063,0.331814314,45.21933202,0.010552363,0.158302948,27.28679328
Crinia sloanei,0.58357397,4.588319414,201.5960636,0.60111794,4.517346667,294.4838739,0.583987377,4.835547855,396.9529776,0.505661701,3.371747588,292.210992,0.54486176,2.555580631,159.2343968,0.541850772,2.94430636,181.7556459,0.537823498,2.963514735,256.0605936,0.455820322,2.158429788,164.9779581,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.03871221,2.032738783,42.36166686,0.059267168,1.573040307,112.728228,0.046163878,1.87203312,140.892384,0.049841379,1.213317799,127.233034
Crinia subinsignifera,0.009824614,0.148427797,0.251299477,0.013050034,0.156328102,0.251299478,0.014664417,0.157999977,0.251299488,0.016924318,0.155620544,0.251299424,0.190223146,0.172513268,1.403914452,0.196402701,0.169885573,1.403914434,0.216747501,0.168903174,1.403914427,0.213668492,0.168836011,1.514130769,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.180398531,-0.024085471,-1.152614974,-0.183352667,-0.013557472,-1.152614956,-0.202083084,-0.010903196,-1.152614939,-0.196744174,-0.013215467,-1.262831345
Crinia tasmaniensis,0.086500433,0.199371074,0.691127712,0.08643551,0.198576598,1.030616452,0.082958035,0.198373746,1.253579718,0.065565266,0.194569659,1.181699628,0.253156486,0.241431195,16.9583846,0.245159384,0.238820936,16.77609796,0.25126774,0.243068512,18.65549332,0.229403893,0.245550625,22.81243659,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.166656053,-0.042060122,-16.26725689,-0.158723875,-0.040244338,-15.74548151,-0.168309705,-0.044694766,-17.4019136,-0.163838628,-0.050980966,-21.63073696
Crinia tinnula,0.498959593,1.241421008,128.9476757,0.531482601,1.496040868,171.8348899,0.506345265,1.318650065,183.4665548,0.472803706,0.852879761,103.7272145,0.662764983,2.328219085,492.8167914,0.656992399,2.613418325,530.5537017,0.645211353,2.869034461,572.5471216,0.610454299,3.408279202,509.7093703,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.16380539,-1.086798077,-363.8691158,-0.125509798,-1.117377457,-358.7188118,-0.138866088,-1.550384396,-389.0805667,-0.137650593,-2.555399441,-405.9821557
Cyclorana alboguttata,0.204580027,0.184671705,4.903080071,0.212162777,0.191421059,4.595326939,0.221383594,0.206386118,3.634629117,0.189797763,0.225550231,4.335664347,0.381478999,0.331732254,28.12839762,0.383266988,0.330616044,29.89331845,0.377543264,0.343819144,36.3211746,0.338856061,0.376677656,42.77088446,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.176898972,-0.147060549,-23.22531755,-0.17110421,-0.139194985,-25.29799151,-0.15615967,-0.137433026,-32.68654548,-0.149058298,-0.151127425,-38.43522011
Cyclorana australis,0.128306849,0.17567319,6.403423049,0.129392804,0.190103384,6.403422984,0.131867927,0.188966751,6.393803989,0.126309062,0.17648417,5.225982334,0.13486592,0.214042336,6.403423057,0.132121589,0.199668415,6.403422989,0.132288146,0.222321115,6.394688946,0.126389985,0.24729688,5.232340227,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.006559071,-0.038369147,-8.04E-09,-0.002728784,-0.009565031,-5.20E-09,-0.000420219,-0.033354364,-0.000884956,-8.09E-05,-0.070812709,-0.006357893
Cyclorana longipes,0.128073039,0.167059739,3.707117796,0.127964901,0.188802175,3.707117789,0.120061713,0.188849463,6.265486626,0.113260195,0.176422285,5.216758057,0.130635522,0.213417954,6.40342306,0.129778512,0.198205551,6.40342299,0.13189483,0.21266923,6.395583842,0.126396227,0.25133811,5.23445909,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.002562484,-0.046358214,-2.696305264,-0.001813611,-0.009403376,-2.696305202,-0.011833118,-0.023819766,-0.130097216,-0.013136032,-0.074915826,-0.017701033
Cyclorana novaehollandiae,0.237394248,0.245202651,8.958466215,0.235014434,0.242298988,9.36082202,0.222091971,0.244190111,14.25374208,0.178240813,0.26534875,8.177625533,0.315149083,0.298243966,16.70745889,0.309651149,0.275770235,20.42439179,0.28409263,0.267551468,20.35269545,0.238877072,0.285965122,22.28375234,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.077754835,-0.053041316,-7.748992675,-0.074636715,-0.033471247,-11.06356977,-0.062000659,-0.023361357,-6.098953369,-0.060636259,-0.020616372,-14.1061268
Geocrinia leai,0.314853937,0.257341941,15.31169294,0.32026974,0.242394114,15.71485085,0.356549929,0.247692667,19.07285687,0.346532309,0.271276582,23.12812544,0.725119957,6.031893804,533.6899905,0.725520046,6.832591164,629.8840866,0.748356028,8.802643486,735.9690401,0.653855137,5.63178479,376.3523743,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.41026602,-5.774551863,-518.3782976,-0.405250306,-6.59019705,-614.1692358,-0.3918061,-8.554950819,-716.8961832,-0.307322828,-5.360508208,-353.2242489
Geocrinia victoriana,0.228062888,0.192989052,4.541086659,0.227462861,0.203141834,4.54349193,0.22151999,0.194032134,4.667823245,0.215868811,0.194289007,8.02921629,0.482019488,0.63186185,59.89126663,0.478089998,0.647527407,71.52072272,0.465024071,0.61505047,69.53479742,0.386136782,0.485673787,54.0378723,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.2539566,-0.438872797,-55.35017997,-0.250627137,-0.444385572,-66.97723079,-0.243504081,-0.421018336,-64.86697417,-0.170267971,-0.29138478,-46.00865601
Heleioporus eyrei,0.688002298,4.281345677,510.3472329,0.677682298,4.441970778,513.9050699,0.66884829,4.678275328,509.9333989,0.605505067,4.38660856,337.9219813,0.6663141,3.261470983,287.6293468,0.670911045,3.251618509,393.4240537,0.648571424,3.620210376,463.9046576,0.574263717,3.025750293,332.822248,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.021688199,1.019874694,222.7178861,0.006771253,1.190352269,120.4810162,0.020276866,1.058064952,46.02874135,0.03124135,1.360858267,5.099733268
Limnodynastes convexiusculus,0.330834164,0.41583763,45.69620514,0.326179159,0.402036644,45.58318259,0.352607875,0.442102643,45.22370413,0.333969596,0.584270743,25.26339195,0.285427111,0.260745861,12.98984197,0.283453544,0.266419365,17.30130433,0.266383424,0.267453036,16.44637461,0.218635676,0.305021878,14.50405718,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.045407052,0.155091768,32.70636317,0.042725615,0.135617279,28.28187825,0.086224451,0.174649607,28.77732952,0.11533392,0.279248866,10.75933478
Limnodynastes dorsalis,0.745800661,7.559085702,725.1671899,0.748576576,9.080126996,743.1988577,0.763798144,10.28445731,857.112114,0.755828321,11.10442088,788.7522385,0.663369535,3.094132707,273.7305174,0.665644794,3.122686581,385.308794,0.641992812,3.533744635,452.7989774,0.573724587,2.887570641,318.6384115,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.082431126,4.464952995,451.4366725,0.082931783,5.957440415,357.8900637,0.121805332,6.750712679,404.3131366,0.182103734,8.216850243,470.113827
Limnodynastes dumerilii,0.515322215,0.908016701,122.590809,0.51121206,0.906924661,128.9984328,0.48309902,0.85079523,128.0024114,0.393853659,0.560614854,66.28310821,0.490281471,0.681809182,83.02042989,0.485103098,0.677905639,91.70005583,0.464827383,0.708872778,95.32868298,0.414836017,0.664154924,84.53596096,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.025040744,0.226207519,39.57037916,0.026108962,0.229019022,37.29837702,0.018271637,0.141922452,32.67372842,-0.020982357,-0.10354007,-18.25285275
Limnodynastes fletcheri,0.374942653,0.376773418,16.92938538,0.3743043,0.413922572,18.5562739,0.36867113,0.420540564,18.21011887,0.35022873,0.599098026,34.75277573,0.497391992,0.704363515,83.4096202,0.494144117,0.70746001,91.15428343,0.478162782,0.764893074,95.89142452,0.435362268,0.777396,93.46917714,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.122449339,-0.327590097,-66.48023482,-0.119839817,-0.293537439,-72.59800952,-0.109491652,-0.34435251,-77.68130565,-0.085133538,-0.178297974,-58.71640141
Limnodynastes peronii,0.694999591,2.978997308,837.7498154,0.687508034,3.367110591,828.7073271,0.666353699,3.648110211,725.6485641,0.589504408,3.17319986,508.6754951,0.464127312,0.584042517,74.45457709,0.459395726,0.603802124,83.4406339,0.445094458,0.618483657,83.97438811,0.391400092,0.608865699,76.24946914,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.230872279,2.394954792,763.2952384,0.228112309,2.763308467,745.2666932,0.22125924,3.029626554,641.674176,0.198104316,2.564334161,432.426026
Limnodynastes salmini,0.332940171,0.255775444,9.543099433,0.347111032,0.253125649,9.311331492,0.336893657,0.257502591,11.64278786,0.327253315,0.831699511,47.08459899,0.351323238,0.222975585,18.58822188,0.34530813,0.226347585,20.35479049,0.335140925,0.217154384,21.77957488,0.32353308,0.275905503,25.58166449,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.018383067,0.032799859,-9.045122452,0.001802902,0.026778064,-11.043459,0.001752732,0.040348207,-10.13678703,0.003720235,0.555794008,21.50293451
Limnodynastes tasmaniensis,0.487594384,0.912632002,66.97442659,0.480938544,0.912732954,78.94609004,0.455736942,0.847018356,84.37193501,0.395914402,0.698362777,60.97959436,0.464126037,0.582878952,72.88937549,0.459378965,0.600317756,82.05435776,0.444957043,0.615660886,81.40914399,0.393098371,0.598553724,75.82280198,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.023468346,0.32975305,-5.914948909,0.02155958,0.312415198,-3.108267722,0.010779899,0.23135747,2.962791021,0.002816031,0.099809053,-14.84320761
Limnodynastes terraereginae,0.164022295,0.168550204,4.843112056,0.158223003,0.16870091,4.566609478,0.152721798,0.167313499,3.595050225,0.172191871,0.174685177,4.312953604,0.322675818,0.232327826,16.57303619,0.322120007,0.233326922,19.77950471,0.314094083,0.229102729,22.63707146,0.291064191,0.296670791,26.70168683,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.158653523,-0.063777621,-11.72992414,-0.163897004,-0.064626012,-15.21289524,-0.161372285,-0.06178923,-19.04202124,-0.11887232,-0.121985615,-22.38873322
Litoria adelaidensis,0.611075457,2.519269682,177.3981306,0.599603429,2.627261112,310.7591376,0.579195978,2.803582814,299.0385398,0.540132441,2.200373909,180.4842525,0.688337862,4.549417558,343.157434,0.69243686,4.781653229,473.9881968,0.669829537,4.465684966,557.5619518,0.599125611,4.418243527,372.2390629,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.077262406,-2.030147876,-165.7593034,-0.092833431,-2.154392117,-163.2290592,-0.090633559,-1.662102152,-258.523412,-0.05899317,-2.217869617,-191.7548104
Litoria barringtonensis,0.095867111,0.161642413,1.64132428,0.090625799,0.161957255,1.620464797,0.101336845,0.158674609,1.716074235,0.107504927,0.157150801,1.843176813,0.190882101,0.172615642,4.636169581,0.190350092,0.172652459,4.814435264,0.185861621,0.173351935,5.001049383,0.188062446,0.183389281,5.916580986,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.09501499,-0.010973229,-2.994845301,-0.099724293,-0.010695204,-3.193970467,-0.084524776,-0.014677326,-3.284975147,-0.080557519,-0.02623848,-4.073404173
Litoria bicolor,0.185885568,0.204050017,6.403423063,0.206741403,0.206834287,6.403422992,0.206564298,0.249031714,6.398182921,0.128578932,0.251482732,5.720131787,0.283246486,0.25912463,12.82393439,0.281399951,0.263314469,16.51619947,0.264784752,0.267217264,16.14882944,0.218102549,0.29903976,14.36495483,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.097360918,-0.055074612,-6.420511331,-0.074658548,-0.056480182,-10.11277648,-0.058220454,-0.01818555,-9.750646514,-0.089523618,-0.047557028,-8.644823046
Litoria caerulea,0.503957994,1.098652931,217.0508233,0.499074774,1.165619071,204.8350566,0.47958666,1.020146839,163.6561972,0.426736318,1.063072586,103.2335185,0.407730046,0.414965751,48.54923348,0.404583238,0.417652286,53.11808177,0.396735574,0.447785909,53.3518549,0.367535021,0.547475936,56.55943989,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.096227948,0.683687179,168.5015899,0.094491536,0.747966784,151.7169748,0.082851086,0.57236093,110.3043423,0.059201297,0.51559665,46.67407856
Litoria chloris,0.247430392,0.197341684,11.53600939,0.248119609,0.194588595,11.85842664,0.252474445,0.191070982,10.10596532,0.248172492,0.226669253,14.3979563,0.380898437,0.294585863,27.06601051,0.383102824,0.289382872,27.50737135,0.376635594,0.308886662,33.12323451,0.355128686,0.394008525,49.42911819,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.133468045,-0.097244179,-15.53000113,-0.134983215,-0.094794277,-15.6489447,-0.124161149,-0.11781568,-23.01726919,-0.106956193,-0.167339272,-35.03116188
Litoria dentata,0.508123137,0.606941846,131.2164792,0.503752427,0.627499922,132.149692,0.488891639,0.735278312,122.6417071,0.412792643,0.743878444,110.5782059,0.496109623,0.689154275,99.97154661,0.490725817,0.674595223,104.7194474,0.468222582,0.737016792,107.780627,0.428125152,0.731928786,104.2880891,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.012013514,-0.082212429,31.24493257,0.01302661,-0.047095302,27.4302446,0.020669058,-0.00173848,14.86108011,-0.015332508,0.011949659,6.290116897
Litoria ewingii,0.487961107,0.633857774,86.7182153,0.483058647,0.674753087,100.4133202,0.46636617,0.657779845,95.17844279,0.415425255,0.573231543,81.09892229,0.571658181,1.619411788,215.8354544,0.57379083,1.807494019,271.8912113,0.556539612,1.692945507,267.1136031,0.490002361,1.442946936,185.2509428,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.083697074,-0.985554014,-129.1172391,-0.090732183,-1.132740932,-171.477891,-0.090173442,-1.035165662,-171.9351603,-0.074577107,-0.869715393,-104.1520206
Litoria fallax,0.50426015,0.766937351,104.1341811,0.500132092,0.767621978,113.4403366,0.483050861,0.824559063,123.4991065,0.453182233,0.849404783,116.0034145,0.497044834,0.71525974,110.7950879,0.493801535,0.714265262,115.5273717,0.47319045,0.770615403,116.6197602,0.426977713,0.793738527,106.0322304,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.007215316,0.051677611,-6.660906775,0.006330557,0.053356716,-2.087035155,0.009860412,0.05394366,6.879346315,0.02620452,0.055666255,9.97118415
Litoria freycineti,0.240830708,0.363396143,3.796750708,0.238644333,0.359593779,4.469859471,0.23573788,0.34118906,8.595067796,0.288938722,0.334488631,20.90116174,0.525870963,0.826391287,133.8376086,0.517165456,0.893676345,141.0319935,0.501670302,0.955591673,142.6221134,0.460788761,0.992180157,136.6041912,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.285040254,-0.462995144,-130.0408579,-0.278521123,-0.534082566,-136.5621341,-0.265932422,-0.614402613,-134.0270456,-0.171850039,-0.657691526,-115.7030295
Litoria gracilenta,0.444958141,0.493007156,98.19089625,0.442177478,0.543471417,96.46675104,0.43445479,0.549002112,87.90337388,0.397120397,0.549859072,64.83291564,0.354759239,0.259933072,21.6816573,0.341805913,0.261545063,24.98389304,0.334078103,0.266969253,27.50876635,0.306137036,0.329578885,34.47250349,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.090198902,0.233074084,76.50923895,0.100371565,0.281926353,71.482858,0.100376687,0.282032859,60.39460753,0.090983361,0.220280187,30.36041215
Litoria inermis,0.134641395,0.18365024,6.40342305,0.141192695,0.190080458,6.403422984,0.141199223,0.188968621,6.393807164,0.126396227,0.176479079,5.226567568,0.271446472,0.261048282,10.27696711,0.271105671,0.266785842,13.94441067,0.260324468,0.267135755,14.99309917,0.217826575,0.282918395,14.18860917,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.136805077,-0.077398042,-3.87354406,-0.129912976,-0.076705385,-7.540987681,-0.119125245,-0.078167134,-8.599292007,-0.091430347,-0.106439316,-8.962041607
Litoria infrafrenata,0.567289472,2.016802608,574.3037109,0.544944762,1.888257639,422.3211241,0.531389376,2.011291074,295.8604782,0.42608128,1.708091191,199.9747887,0.373318854,0.362413529,45.44890854,0.362291492,0.365783004,48.3796136,0.343918294,0.431776079,65.336298,0.306887346,0.457770543,49.37462335,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.193970618,1.654389079,528.8548024,0.18265327,1.522474635,373.9415105,0.187471082,1.579514994,230.5241802,0.119193934,1.250320648,150.6001653
Litoria jervisiensis,0.321198807,0.375403514,27.48395635,0.310265307,0.396333062,27.84066509,0.302940182,0.387058769,42.12608937,0.3012555,0.373319238,55.97013218,0.563050187,1.181825187,226.2775629,0.563165748,1.268242349,256.0067455,0.539080863,1.359185728,224.1075059,0.472383228,1.350169402,169.7337277,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.24185138,-0.806421674,-198.7936066,-0.252900441,-0.871909287,-228.1660805,-0.236140681,-0.972126959,-181.9814165,-0.171127728,-0.976850164,-113.7635955
Litoria latopalmata,0.232805871,0.187725062,5.404681956,0.222322919,0.187095063,5.663130609,0.223702545,0.188777374,6.037803875,0.214449675,0.184251484,6.786152956,0.455331435,0.527248769,68.16530494,0.453398507,0.54090204,76.72452121,0.438883223,0.583171554,76.77856313,0.389401385,0.61164066,76.48434131,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.222525564,-0.339523707,-62.76062298,-0.231075588,-0.353806977,-71.0613906,-0.215180678,-0.39439418,-70.74075926,-0.17495171,-0.427389176,-69.69818835
Litoria microbelos,0.075877345,0.169008403,1.895460166,0.087116683,0.169889581,1.994986465,0.080004724,0.161544612,2.821151621,0.089499859,0.164117386,4.221022583,0.287733177,0.267465085,10.97987766,0.287590271,0.279254031,14.91597206,0.274845614,0.298328523,15.13956713,0.236804997,0.332629235,16.47523377,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.211855832,-0.098456682,-9.084417499,-0.200473588,-0.10936445,-12.92098559,-0.19484089,-0.136783911,-12.31841551,-0.147305138,-0.168511849,-12.25421119
Litoria moorei,0.787702305,10.56767624,1108.470088,0.792808496,11.5279,1073.708248,0.791568827,11.67461733,991.4933591,0.747903338,12.402307,683.1062772,0.666223404,3.230380443,284.4641133,0.670793447,3.243325651,390.6822726,0.648196021,3.613385943,463.0472919,0.574288451,3.015773281,332.544638,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.121478901,7.3372958,824.0059743,0.122015049,8.284574346,683.0259757,0.143372806,8.061231386,528.4460673,0.173614887,9.386533715,350.5616392
Litoria nasuta,0.299405387,0.27069508,13.76518943,0.299576826,0.274546413,14.97927473,0.300680368,0.269896254,19.48355442,0.275514882,0.339838241,14.52872141,0.420907365,0.422348596,54.8791153,0.418179088,0.438932843,59.08715382,0.408462498,0.484548919,58.32166831,0.385952143,0.56340603,62.12512183,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.121501978,-0.151653516,-41.11392587,-0.118602262,-0.164386429,-44.10787909,-0.10778213,-0.214652664,-38.83811389,-0.110437261,-0.22356779,-47.59640042
Litoria nudidigitus,0.367885345,0.783167453,27.3827864,0.374600183,0.938901951,27.16038745,0.364062576,0.981998554,47.17668008,0.410106025,1.323282851,227.0456921,0.409856472,0.539262156,65.08945636,0.402169744,0.546485656,76.09106839,0.378092046,0.546756228,76.39206915,0.326102042,0.532921579,64.92603718,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.041971126,0.243905297,-37.70666996,-0.027569561,0.392416295,-48.93068094,-0.01402947,0.435242326,-29.21538907,0.084003983,0.790361272,162.1196549
Litoria pallida,0.128239142,0.166978937,6.403423034,0.129330229,0.189699422,6.403422983,0.131855268,0.188940572,6.393797633,0.126274345,0.176444446,5.220475518,0.270273163,0.25856456,10.2071476,0.262564692,0.259680536,14.11370212,0.253396234,0.267100167,15.05282704,0.21743749,0.282912723,14.18326311,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.14203402,-0.091585622,-3.803724564,-0.133234463,-0.069981114,-7.710279132,-0.121540966,-0.078159594,-8.659029411,-0.091163145,-0.106468277,-8.96278759
Litoria paraewingi,0.564772505,3.957939667,197.9348168,0.573783787,4.074250414,294.6195855,0.572497541,4.264750066,401.2336865,0.487334914,3.184359182,251.4778897,0.555369325,3.26541833,193.5300594,0.556005785,3.491417675,244.2069084,0.547800365,3.486894726,309.7484831,0.467692552,2.97858724,224.8373143,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.00940318,0.692521337,4.404757366,0.017778002,0.582832739,50.41267708,0.024697175,0.77785534,91.48520347,0.019642361,0.205771942,26.64057542
